"Comunidad autónoma","Provincia","Año","Número de denuncias por violencia de género"
"País Vasco","Bizkaia","Año 2018","3248.0"
"País Vasco","Bizkaia","Año 2019","3241.0"
"País Vasco","Bizkaia","Año 2020","3028.0"
"País Vasco","Bizkaia","Año 2021","2260.0"
"La Rioja","La Rioja","Año 2009","834.0"
"La Rioja","La Rioja","Año 2010","660.0"
"La Rioja","La Rioja","Año 2011","710.0"
"La Rioja","La Rioja","Año 2012","701.0"
"La Rioja","La Rioja","Año 2013","548.0"
"La Rioja","La Rioja","Año 2014","549.0"
"La Rioja","La Rioja","Año 2015","616.0"
"La Rioja","La Rioja","Año 2016","690.0"
"La Rioja","La Rioja","Año 2017","727.0"
"La Rioja","La Rioja","Año 2018","839.0"
"La Rioja","La Rioja","Año 2019","822.0"
"La Rioja","La Rioja","Año 2020","768.0"
"La Rioja","La Rioja","Año 2021","589.0"
"Ceuta","Ceuta","Año 2009","334.0"
"Ceuta","Ceuta","Año 2010","273.0"
"Ceuta","Ceuta","Año 2011","354.0"
"Ceuta","Ceuta","Año 2012","341.0"
"Ceuta","Ceuta","Año 2013","269.0"
"Ceuta","Ceuta","Año 2014","239.0"
"Ceuta","Ceuta","Año 2015","151.0"
"Ceuta","Ceuta","Año 2016","174.0"
"Ceuta","Ceuta","Año 2017","443.0"
"Ceuta","Ceuta","Año 2018","280.0"
"Ceuta","Ceuta","Año 2019","264.0"
"Ceuta","Ceuta","Año 2020","228.0"
"Ceuta","Ceuta","Año 2021","203.0"
"Melilla","Melilla","Año 2009","361.0"
"Melilla","Melilla","Año 2010","373.0"
"Melilla","Melilla","Año 2011","323.0"
"Melilla","Melilla","Año 2012","317.0"
"Melilla","Melilla","Año 2013","311.0"
"Melilla","Melilla","Año 2014","303.0"
"Melilla","Melilla","Año 2015","291.0"
"Melilla","Melilla","Año 2016","411.0"
"Melilla","Melilla","Año 2017","384.0"
"Melilla","Melilla","Año 2018","449.0"
"Melilla","Melilla","Año 2019","388.0"
"Melilla","Melilla","Año 2020","323.0"
"Melilla","Melilla","Año 2021","283.0"
